,Sex,Age_Group,Race,COVID_Status,NY_Score,Protocol,Pop_N,Survived,Age,Age_SD,SOFA,SOFA_SD,StayLength,Cho_LE,COVID_Status_mean,CCS_raw,CCS_age,CCS_Colorado,ECI_raw,S_rate,S_rate_CI_lo,S_rate_CI_hi,Age_CI_lo,Age_CI_hi,SOFA_CI_lo,SOFA_CI_hi,StayLength_CI_lo,StayLength_CI_hi,Cho_LE_CI_lo,Cho_LE_CI_hi,COVID_Status_CI_lo,COVID_Status_CI_hi,CCS_raw_CI_lo,CCS_raw_CI_hi,CCS_age_CI_lo,CCS_age_CI_hi,CCS_Colorado_lo,CCS_Colorado_hi,ECI_raw_CI_lo,ECI_raw_CI_hi,Age_Adj_S_rate,Age_Adj_S_rate_CI_lo,Age_Adj_S_rate_CI_hi
0,,,,,,Baseline,3707,2690,62.0923,16.3635,3.6636,3.5792,17.6775,24.6153,0.3442,0.5403,2.427,0.4621,2.8821,0.7257,0.7083,0.7423,61.5655,62.619,3.5484,3.7788,16.974,18.381,24.1275,25.1032,0.3289,0.3595,0.5059,0.5748,2.374,2.4801,0.4327,0.4915,2.7471,3.0172,0.8418,0.8151,0.8626
1,Female,,,,,Baseline,1510,1085,62.8375,16.5824,3.4921,3.6433,17.1035,26.7275,0.3841,0.5238,2.4735,0.443,2.7517,0.7185,0.6905,0.7447,62.0011,63.6739,3.3083,3.6758,16.0833,18.1236,25.8873,27.5678,0.3596,0.4086,0.4708,0.5769,2.3898,2.5572,0.3975,0.4886,2.5411,2.9622,0.842,0.7958,0.8719
2,Male,,,,,Baseline,2197,1605,61.5801,16.1953,3.7815,3.5305,18.0721,23.1636,0.3168,0.5517,2.3951,0.4752,2.9718,0.7305,0.7079,0.7518,60.9028,62.2573,3.6339,3.9291,17.1144,19.0298,22.5846,23.7427,0.2973,0.3363,0.5063,0.597,2.3265,2.4637,0.4367,0.5137,2.7958,3.1477,0.8415,0.8034,0.8691
3,,<25,,,,Baseline,104,97,21.7019,2.0697,2.3269,2.9476,18.1667,62.7029,0.2308,0.2596,0.2596,0.1827,1.6058,0.9327,0.8613,0.9729,21.3041,22.0997,1.7604,2.8934,13.6727,22.6607,61.2146,64.1912,0.1494,0.3121,0.1012,0.418,0.1012,0.418,0.073,0.2923,0.9673,2.2443,,,
4,,25-34,,,,Baseline,235,211,30.3455,2.7675,2.9021,3.6001,19.3472,52.9621,0.2596,0.4383,0.4383,0.3872,2.5702,0.8979,0.848,0.9346,29.9917,30.6994,2.4418,3.3624,16.4499,22.2445,51.782,54.1423,0.2034,0.3157,0.3072,0.5694,0.3072,0.5694,0.2715,0.503,2.0021,3.1383,,,
5,,35-44,,,,Baseline,247,204,40.0955,2.9744,3.6559,4.0684,19.7052,42.8534,0.3239,0.5911,0.5911,0.4615,2.9636,0.8259,0.7655,0.874,39.7246,40.4665,3.1485,4.1632,16.7856,22.6248,41.7374,43.9695,0.2654,0.3824,0.448,0.7342,0.448,0.7342,0.3545,0.5686,2.3852,3.5419,,,
6,,45-54,,,,Baseline,456,371,51.0004,2.651,3.8443,3.8097,20.4837,32.9502,0.3772,0.6162,1.2719,0.4583,2.7259,0.8136,0.7695,0.8511,50.7571,51.2438,3.4946,4.194,17.234,23.7333,32.1948,33.7056,0.3327,0.4217,0.5054,0.7271,1.1542,1.3896,0.3734,0.5432,2.3409,3.1108,,,
7,,55-64,,,,Baseline,868,660,60.4288,2.8521,3.8998,3.7346,17.1854,24.5594,0.3329,0.6567,2.2097,0.5346,3.1843,0.7604,0.7255,0.7918,60.2391,60.6185,3.6513,4.1482,16.0264,18.3445,24.0634,25.0555,0.3016,0.3643,0.5784,0.735,2.1251,2.2942,0.471,0.5981,2.886,3.4826,,,
8,,65-74,,,,Baseline,980,680,70.0056,2.9251,3.8653,3.4121,18.0706,17.7646,0.3398,0.5531,3.051,0.4939,3.0061,0.6939,0.6572,0.7275,69.8225,70.1888,3.6517,4.0789,16.7983,19.343,17.3938,18.1354,0.3101,0.3695,0.4864,0.6197,2.978,3.124,0.4347,0.5531,2.7415,3.2708,,,
9,,75-84,,,,Baseline,629,374,79.4758,2.7489,3.6041,3.3273,16.009,10.8892,0.4006,0.4483,3.8617,0.4452,2.8871,0.5946,0.5417,0.6428,79.261,79.6907,3.3441,3.8642,14.6616,17.3564,10.6237,11.1546,0.3623,0.439,0.3779,0.5187,3.7825,3.9409,0.3738,0.5165,2.5908,3.1834,,,
